Datetime,Content Type,Category,Sentiment,Score
2020-11-07 09:43:50,photo,Studying,negative,0
2021-06-17 12:22:51,photo,Studying,negative,10
2021-04-18 05:13:58,photo,Studying,negative,15
2021-01-06 19:13:01,photo,Studying,negative,0
2020-08-23 12:25:58,photo,Studying,positive,30
2020-12-07 06:27:54,photo,Studying,neutral,35
2021-04-11 17:35:49,photo,Studying,positive,70
2021-01-27 08:32:09,photo,Studying,negative,5
2021-04-01 22:54:23,photo,Studying,neutral,35
2020-08-04 05:05:02,photo,Studying,positive,65
2020-11-07 08:36:27,photo,Studying,neutral,20
2020-11-02 06:28:53,photo,Studying,negative,15
2020-11-01 01:16:21,photo,Studying,positive,30
2020-10-07 18:39:08,photo,Studying,negative,5
2020-09-03 18:51:38,photo,Studying,negative,15
2021-02-24 05:09:23,photo,Studying,positive,75
2020-09-23 06:24:11,photo,Studying,neutral,35
2021-02-24 11:37:57,photo,Studying,neutral,20
2021-05-22 19:44:23,photo,Studying,positive,30
2021-01-31 16:03:56,photo,Studying,positive,45
2020-11-20 17:26:23,photo,Studying,neutral,35
2021-04-11 20:47:13,photo,Studying,negative,12
2021-06-13 16:46:06,photo,Studying,positive,50
2021-04-11 14:29:59,photo,Studying,positive,60
2021-03-02 19:21:19,photo,Studying,negative,12
2020-06-27 18:44:39,photo,Studying,negative,5
2021-05-09 21:05:17,photo,Studying,negative,5
2020-08-04 23:58:42,photo,Studying,positive,70
2020-08-28 03:57:20,photo,Studying,positive,75
2020-08-25 08:21:56,photo,Studying,positive,45
2021-04-20 23:48:12,photo,Studying,negative,15
2021-03-07 12:40:11,photo,Studying,positive,30
2021-05-24 03:21:13,photo,Studying,neutral,20
2021-01-24 11:03:43,photo,Studying,positive,75
2021-04-09 02:46:20,photo,Studying,negative,0
2021-02-02 03:43:43,photo,Studying,positive,75
2021-02-04 03:06:12,photo,Studying,positive,30
2020-11-09 02:49:59,photo,Studying,negative,10
2020-09-29 16:00:27,photo,Studying,negative,15
2020-11-29 21:33:04,photo,Studying,negative,10
2021-02-13 07:54:01,photo,Studying,positive,70
2020-07-14 05:28:44,photo,Studying,positive,30
2020-08-23 10:30:37,photo,Studying,neutral,20
2021-05-10 09:27:42,photo,Studying,negative,12
2021-03-15 03:59:11,photo,Studying,negative,5
2020-06-25 17:01:58,photo,healthy eating,negative,10
2020-09-13 00:11:50,photo,healthy eating,positive,45
2020-08-20 18:17:06,photo,healthy eating,neutral,35
2021-02-11 04:53:56,photo,healthy eating,negative,15
2021-03-08 10:40:53,photo,healthy eating,negative,5
2021-03-28 21:15:26,photo,healthy eating,negative,0
2021-05-25 01:00:28,photo,healthy eating,negative,5
2021-03-15 12:17:43,photo,healthy eating,positive,50
2021-05-05 16:26:43,photo,healthy eating,positive,65
2020-08-31 00:21:56,photo,healthy eating,positive,65
2021-06-16 03:02:28,photo,healthy eating,positive,60
2020-07-07 10:52:30,photo,healthy eating,neutral,20
2020-08-20 07:59:11,photo,healthy eating,neutral,35
2020-09-23 11:15:19,photo,healthy eating,positive,65
2021-03-24 05:56:19,photo,healthy eating,positive,50
2020-12-07 19:13:23,photo,healthy eating,negative,5
2020-08-03 16:41:04,photo,healthy eating,positive,75
2021-01-10 15:36:01,photo,healthy eating,positive,72
2020-09-20 08:48:13,photo,healthy eating,negative,15
2020-07-20 14:06:31,photo,healthy eating,positive,70
2020-10-24 12:15:34,photo,healthy eating,positive,72
2021-06-06 01:27:19,photo,healthy eating,positive,30
2020-12-25 00:09:41,photo,healthy eating,positive,60
2021-06-14 07:56:56,photo,healthy eating,positive,50
2021-06-05 18:00:42,photo,healthy eating,positive,50
2020-11-18 23:37:37,photo,healthy eating,negative,5
2021-05-09 02:42:43,photo,healthy eating,positive,30
2021-05-11 08:38:47,photo,healthy eating,negative,10
2020-11-12 08:00:05,photo,healthy eating,neutral,35
2020-06-21 16:57:09,photo,healthy eating,positive,60
2021-03-04 23:58:54,photo,healthy eating,positive,75
2020-07-09 16:47:07,photo,healthy eating,positive,70
2020-08-01 19:16:01,photo,healthy eating,negative,5
2020-11-23 22:46:17,photo,healthy eating,negative,10
2020-12-11 14:08:51,photo,healthy eating,negative,15
2021-04-23 23:41:18,photo,healthy eating,negative,10
2020-11-13 00:33:42,photo,healthy eating,positive,70
2021-06-09 10:13:56,photo,healthy eating,positive,30
2020-10-29 19:41:49,photo,healthy eating,positive,65
2021-05-14 12:47:27,photo,healthy eating,positive,60
2020-08-04 05:40:33,photo,healthy eating,negative,0
2020-08-07 04:09:29,photo,healthy eating,positive,72
2020-10-23 21:19:27,photo,healthy eating,positive,72
2020-11-14 23:53:51,photo,healthy eating,positive,72
2020-08-04 19:26:08,photo,healthy eating,negative,12
2020-11-12 04:54:46,photo,healthy eating,positive,30
2021-04-03 12:17:12,photo,technology,negative,12
2020-09-27 22:15:54,photo,technology,positive,70
2020-10-27 05:45:15,photo,technology,positive,60
2020-10-15 09:11:23,photo,technology,negative,15
2021-05-07 09:16:35,photo,technology,positive,60
2020-09-16 08:39:40,photo,technology,negative,5
2020-10-29 15:38:26,photo,technology,neutral,20
2021-05-24 18:03:26,video,food,negative,15
2021-02-25 20:02:53,GIF,cooking,positive,30
2021-05-02 03:45:03,GIF,cooking,negative,5
2021-01-28 08:49:29,GIF,cooking,positive,70
2021-02-15 13:06:04,GIF,cooking,neutral,35
2020-11-04 21:25:52,GIF,cooking,negative,10
2020-06-23 22:12:03,GIF,cooking,positive,65
2021-02-16 04:01:15,GIF,cooking,positive,70
2021-01-03 08:44:25,GIF,cooking,positive,30
2020-11-25 12:45:41,GIF,cooking,positive,72
2020-12-03 16:47:33,GIF,cooking,positive,50
2021-05-22 21:03:24,GIF,cooking,positive,50
2021-01-18 13:39:54,GIF,cooking,positive,70
2021-01-06 00:35:24,GIF,cooking,neutral,20
2021-05-14 14:33:17,GIF,cooking,positive,72
